case_id,report_text,meeting_count,attendee_count
LA00001,"Social Impact Assessment Report — Power Plant Project, Maharashtra_District_4, Maharashtra


Consultation process: 3 public consultation meetings were held at the Gram Panchayat office under the Gram Sabha / local body process required by the LARR Act, 2013. Approximately 66 persons attended across all sessions, against 91 families recorded as affected.

Objections at these sessions were raised principally by agricultural labourers.

Nature of objections — substantive: several families disputed the necessity of the alignment itself, arguing an alternative route would avoid settled habitation entirely.

Objection was recorded to the inclusion of a community burial ground within the boundary, which attendees said cannot be relocated on any terms.

Outcome: the Gram Sabha deferred its resolution, requesting a further sitting once written responses to the points above are furnished.",3,66
LA00002,"Social Impact Assessment Report — Highway Project, Rajasthan_District_3, Rajasthan


Consultation process: 2 public consultation meetings were held at the village community hall under the Gram Sabha / local body process required by the LARR Act, 2013. Approximately 8 persons attended across all sessions, against 9 families recorded as affected.

No material objection to the acquisition was recorded during the sessions; queries were limited to timelines and disbursement procedure.

Outcome: the Gram Sabha passed a resolution recording no objection to the acquisition proceeding to the next stage.",2,8
LA00003,"Social Impact Assessment Status — Highway Project, Odisha_District_3, Odisha

No formal Social Impact Assessment has been conducted for this project as of the latest administrative review. Community consultation status: not initiated. Under Section 4 of the Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013, an SIA is a mandatory pre-requisite for acquisitions of this nature and scale. This file is flagged pending initiation of the consultation process.",0,0
LA00004,"Social Impact Assessment Report — Power Plant Project, Madhya Pradesh_District_3, Madhya Pradesh


Consultation process: 3 public consultation meetings were held at a temporary shamiana erected near the proposed site under the Gram Sabha / local body process required by the LARR Act, 2013. Approximately 245 persons attended across all sessions, against 264 families recorded as affected.

Attendance was high relative to the number of affected households, with participation from beyond the immediately affected families.

No material objection to the acquisition was recorded during the sessions; queries were limited to timelines and disbursement procedure.

Outcome: the Gram Sabha passed a resolution recording no objection to the acquisition proceeding to the next stage.",3,245
LA00005,"Social Impact Assessment Status — Railway Project, Karnataka_District_3, Karnataka

No formal Social Impact Assessment has been conducted for this project as of the latest administrative review. Community consultation status: not initiated. Under Section 4 of the Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013, an SIA is a mandatory pre-requisite for acquisitions of this nature and scale. This file is flagged pending initiation of the consultation process.",0,0
LA00006,"Social Impact Assessment Report — Railway Project, Bihar_District_3, Bihar


Consultation process: 3 public consultation meetings were held at the block development office under the Gram Sabha / local body process required by the LARR Act, 2013. Approximately 29 persons attended across all sessions, against 23 families recorded as affected.

Attendance was high relative to the number of affected households, with participation from beyond the immediately affected families.

No material objection to the acquisition was recorded during the sessions; queries were limited to timelines and disbursement procedure.

Outcome: the Gram Sabha passed a resolution recording no objection to the acquisition proceeding to the next stage.",3,29
LA00007,"Social Impact Assessment Status — Railway Project, Punjab_District_1, Punjab

No formal Social Impact Assessment has been conducted for this project as of the latest administrative review. Community consultation status: not initiated. Under Section 4 of the Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013, an SIA is a mandatory pre-requisite for acquisitions of this nature and scale. This file is flagged pending initiation of the consultation process.",0,0
LA00008,"Social Impact Assessment Status — Urban Housing Project, Rajasthan_District_2, Rajasthan

No formal Social Impact Assessment has been conducted for this project as of the latest administrative review. Community consultation status: not initiated. Under Section 4 of the Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013, an SIA is a mandatory pre-requisite for acquisitions of this nature and scale. This file is flagged pending initiation of the consultation process.",0,0
LA00009,"Social Impact Assessment Report — Urban Housing Project, West Bengal_District_4, West Bengal


Consultation process: 3 public consultation meetings were held at the Gram Panchayat office under the Gram Sabha / local body process required by the LARR Act, 2013. Approximately 8 persons attended across all sessions, against 45 families recorded as affected.

The consultation team notes that attendance represented a small share of the affected households, and that the sessions may not reflect the views of the wider affected population.

No material objection to the acquisition was recorded during the sessions; queries were limited to timelines and disbursement procedure.

The consultation noted that the village water tank falls inside the boundary, with no alternative source identified in the rehabilitation plan.

Outcome: the Gram Sabha deferred its resolution, requesting a further sitting once written responses to the points above are furnished.",3,8
LA00010,"Social Impact Assessment Report — Railway Project, Bihar_District_2, Bihar


Consultation process: 3 public consultation meetings were held at the block development office under the Gram Sabha / local body process required by the LARR Act, 2013. Approximately 8 persons attended across all sessions, against 4 families recorded as affected.

Attendance was high relative to the number of affected households, with participation from beyond the immediately affected families.

Objections at these sessions were raised principally by landowning farmers.

Nature of objections — procedural: the notice period fell short of what attendees expected, leaving little time to consult family members working outside the district.

The consultation team noted visible distrust rooted in a prior project in the same block, where promised employment did not materialise.

Outcome: the Gram Sabha deferred its resolution, requesting a further sitting once written responses to the points above are furnished.",3,8
