case_id,state,district,project_type,sia_conducted,community_sentiment_score,sia_log_text
LA00001,Maharashtra,Maharashtra_District_4,Power Plant,True,1.0,"Social Impact Assessment Report — Power Plant Project, Maharashtra_District_4, Maharashtra

Consultation process: 2 public consultation meetings were held over the assessment period, conducted at the local primary school premises under the Gram Sabha / local body process as required under the LARR Act, 2013. A total of approximately 65 affected residents and stakeholders attended across all sessions, including 17 women. Attendees represented a cross-section of the affected population, including members of the local women's self-help group, local shopkeepers and traders, agricultural laborers, and representatives of the Scheduled Tribe community.

Consultation notes (majority supportive):
  - On compensation satisfaction: several attendees described the compensation package as fair and, in some cases, above their initial expectations, referencing similar recent acquisitions in the region.
  - On process transparency: community representatives specifically commended the transparency of the consultation process, noting that queries raised in earlier sessions had been addressed satisfactorily.
  - On resettlement site quality: attendees welcomed the proposed resettlement site's proximity to schools, primary healthcare facilities, and the main road, viewing it as an improvement over current conditions for several families.
  - On gram sabha resolution: the Gram Sabha passed a formal resolution supporting the acquisition, citing long-term developmental benefits to the panchayat as a whole.

Overall consensus recorded: the project enjoys majority community support. No significant objections were raised during this consultation round, and the consultation team sees no impediment to proceeding to the next stage."
LA00002,Rajasthan,Rajasthan_District_3,Highway,True,0.64,"Social Impact Assessment Report — Highway Project, Rajasthan_District_3, Rajasthan

Consultation process: 2 public consultation meetings were held over the assessment period, conducted at a temporary shamiana erected near the proposed site under the Gram Sabha / local body process as required under the LARR Act, 2013. A total of approximately 40 affected residents and stakeholders attended across all sessions, including 8 women. Attendees represented a cross-section of the affected population, including agricultural laborers, landowning farmers, and tenant cultivators.

Consultation notes (mixed sentiment):
  - On resettlement-specific concerns: concerns raised were largely limited to the readiness of the resettlement site rather than opposition to the project itself, suggesting the core acquisition is broadly accepted in principle.
  - On information requests: a number of attendees stated they would prefer to review the detailed rehabilitation package documentation before forming a final opinion, and requested a follow-up session.
  - On timeline clarity: residents requested clearer, written timelines for compensation disbursement and physical possession, noting that verbal assurances given during the meeting were appreciated but insufficient for planning purposes.

Overall consensus recorded: cautious acceptance was observed across most attendees. No major objections were raised in principle, though several procedural clarifications remain outstanding before formal sign-off can be recommended."
LA00003,Odisha,Odisha_District_3,Highway,False,0.0,"Social Impact Assessment Status — Highway Project, Odisha_District_3, Odisha

No formal Social Impact Assessment has been conducted for this project as of the latest administrative review. Community consultation status: not initiated. Under Section 4 of the Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013, an SIA is a mandatory pre-requisite for acquisitions of this nature and scale. This file is flagged pending initiation of the consultation process; no community sentiment data is currently available for this project."
LA00004,Madhya Pradesh,Madhya Pradesh_District_3,Power Plant,True,0.59,"Social Impact Assessment Report — Power Plant Project, Madhya Pradesh_District_3, Madhya Pradesh

Consultation process: 3 public consultation meetings were held over the assessment period, conducted at the village community hall under the Gram Sabha / local body process as required under the LARR Act, 2013. A total of approximately 232 affected residents and stakeholders attended across all sessions, including 85 women. Attendees represented a cross-section of the affected population, including agricultural laborers, representatives of the Scheduled Tribe community, and landowning farmers.

Consultation notes (mixed sentiment):
  - On livelihood support requests: while there was general acceptance of the project's necessity, several attendees requested specific livelihood support measures such as skill training or preference in project-related employment.
  - On resettlement-specific concerns: concerns raised were largely limited to the readiness of the resettlement site rather than opposition to the project itself, suggesting the core acquisition is broadly accepted in principle.
  - On information requests: a number of attendees stated they would prefer to review the detailed rehabilitation package documentation before forming a final opinion, and requested a follow-up session.

Overall consensus recorded: sentiment is mixed but not adversarial. Conditional support appears achievable subject to written clarification on the outstanding livelihood, timeline, and resettlement queries noted above."
LA00005,Karnataka,Karnataka_District_3,Railway,False,0.04,"Social Impact Assessment Status — Railway Project, Karnataka_District_3, Karnataka

No formal Social Impact Assessment has been conducted for this project as of the latest administrative review. Community consultation status: not initiated. Under Section 4 of the Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013, an SIA is a mandatory pre-requisite for acquisitions of this nature and scale. This file is flagged pending initiation of the consultation process; no community sentiment data is currently available for this project."
LA00006,Bihar,Bihar_District_3,Railway,True,0.81,"Social Impact Assessment Report — Railway Project, Bihar_District_3, Bihar

Consultation process: 3 public consultation meetings were held over the assessment period, conducted at a temporary shamiana erected near the proposed site under the Gram Sabha / local body process as required under the LARR Act, 2013. A total of approximately 212 affected residents and stakeholders attended across all sessions, including 58 women. Attendees represented a cross-section of the affected population, including agricultural laborers, tenant cultivators, representatives of the Scheduled Tribe community, and local shopkeepers and traders.

Consultation notes (majority supportive):
  - On employment expectations: there was broad support for the project given the anticipated generation of local employment opportunities during both construction and operational phases.
  - On connectivity benefits: residents noted that the project would meaningfully improve regional connectivity and market access for local agricultural produce.
  - On resettlement site quality: attendees welcomed the proposed resettlement site's proximity to schools, primary healthcare facilities, and the main road, viewing it as an improvement over current conditions for several families.
  - On compensation satisfaction: several attendees described the compensation package as fair and, in some cases, above their initial expectations, referencing similar recent acquisitions in the region.

Overall consensus recorded: strong community backing was evident throughout the session, with several attendees actively requesting an expedited timeline for project commencement."
LA00007,Punjab,Punjab_District_1,Railway,False,0.53,"Social Impact Assessment Status — Railway Project, Punjab_District_1, Punjab

No formal Social Impact Assessment has been conducted for this project as of the latest administrative review. Community consultation status: not initiated. Under Section 4 of the Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013, an SIA is a mandatory pre-requisite for acquisitions of this nature and scale. This file is flagged pending initiation of the consultation process; no community sentiment data is currently available for this project."
LA00008,Rajasthan,Rajasthan_District_2,Urban Housing,False,0.31,"Social Impact Assessment Status — Urban Housing Project, Rajasthan_District_2, Rajasthan

No formal Social Impact Assessment has been conducted for this project as of the latest administrative review. Community consultation status: not initiated. Under Section 4 of the Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013, an SIA is a mandatory pre-requisite for acquisitions of this nature and scale. This file is flagged pending initiation of the consultation process; no community sentiment data is currently available for this project."
LA00009,West Bengal,West Bengal_District_4,Urban Housing,True,0.86,"Social Impact Assessment Report — Urban Housing Project, West Bengal_District_4, West Bengal

Consultation process: 2 public consultation meetings were held over the assessment period, conducted at the village community hall under the Gram Sabha / local body process as required under the LARR Act, 2013. A total of approximately 59 affected residents and stakeholders attended across all sessions, including 20 women. Attendees represented a cross-section of the affected population, including landowning farmers, elected Panchayat members, agricultural laborers, and members of the local women's self-help group.

Consultation notes (majority supportive):
  - On employment expectations: there was broad support for the project given the anticipated generation of local employment opportunities during both construction and operational phases.
  - On gram sabha resolution: the Gram Sabha passed a formal resolution supporting the acquisition, citing long-term developmental benefits to the panchayat as a whole.
  - On process transparency: community representatives specifically commended the transparency of the consultation process, noting that queries raised in earlier sessions had been addressed satisfactorily.
  - On compensation satisfaction: several attendees described the compensation package as fair and, in some cases, above their initial expectations, referencing similar recent acquisitions in the region.

Overall consensus recorded: the project enjoys majority community support. No significant objections were raised during this consultation round, and the consultation team sees no impediment to proceeding to the next stage."
LA00010,Bihar,Bihar_District_2,Railway,True,0.95,"Social Impact Assessment Report — Railway Project, Bihar_District_2, Bihar

Consultation process: 2 public consultation meetings were held over the assessment period, conducted at the village community hall under the Gram Sabha / local body process as required under the LARR Act, 2013. A total of approximately 133 affected residents and stakeholders attended across all sessions, including 38 women. Attendees represented a cross-section of the affected population, including agricultural laborers, local shopkeepers and traders, and landowning farmers.

Consultation notes (majority supportive):
  - On connectivity benefits: residents noted that the project would meaningfully improve regional connectivity and market access for local agricultural produce.
  - On compensation satisfaction: several attendees described the compensation package as fair and, in some cases, above their initial expectations, referencing similar recent acquisitions in the region.
  - On process transparency: community representatives specifically commended the transparency of the consultation process, noting that queries raised in earlier sessions had been addressed satisfactorily.
  - On employment expectations: there was broad support for the project given the anticipated generation of local employment opportunities during both construction and operational phases.

Overall consensus recorded: the project enjoys majority community support. No significant objections were raised during this consultation round, and the consultation team sees no impediment to proceeding to the next stage."
LA00011,Maharashtra,Maharashtra_District_1,Highway,False,0.5,"Social Impact Assessment Status — Highway Project, Maharashtra_District_1, Maharashtra

No formal Social Impact Assessment has been conducted for this project as of the latest administrative review. Community consultation status: not initiated. Under Section 4 of the Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013, an SIA is a mandatory pre-requisite for acquisitions of this nature and scale. This file is flagged pending initiation of the consultation process; no community sentiment data is currently available for this project."
LA00012,Bihar,Bihar_District_2,Railway,False,0.08,"Social Impact Assessment Status — Railway Project, Bihar_District_2, Bihar

No formal Social Impact Assessment has been conducted for this project as of the latest administrative review. Community consultation status: not initiated. Under Section 4 of the Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013, an SIA is a mandatory pre-requisite for acquisitions of this nature and scale. This file is flagged pending initiation of the consultation process; no community sentiment data is currently available for this project."
LA00013,Gujarat,Gujarat_District_4,Industrial Corridor,True,0.95,"Social Impact Assessment Report — Industrial Corridor Project, Gujarat_District_4, Gujarat

Consultation process: 4 public consultation meetings were held over the assessment period, conducted at a temporary shamiana erected near the proposed site under the Gram Sabha / local body process as required under the LARR Act, 2013. A total of approximately 94 affected residents and stakeholders attended across all sessions, including 36 women. Attendees represented a cross-section of the affected population, including agricultural laborers, local shopkeepers and traders, tenant cultivators, and landowning farmers.

Consultation notes (majority supportive):
  - On connectivity benefits: residents noted that the project would meaningfully improve regional connectivity and market access for local agricultural produce.
  - On employment expectations: there was broad support for the project given the anticipated generation of local employment opportunities during both construction and operational phases.
  - On compensation satisfaction: several attendees described the compensation package as fair and, in some cases, above their initial expectations, referencing similar recent acquisitions in the region.
  - On gram sabha resolution: the Gram Sabha passed a formal resolution supporting the acquisition, citing long-term developmental benefits to the panchayat as a whole.

Overall consensus recorded: strong community backing was evident throughout the session, with several attendees actively requesting an expedited timeline for project commencement."
LA00014,West Bengal,West Bengal_District_4,Highway,True,0.8,"Social Impact Assessment Report — Highway Project, West Bengal_District_4, West Bengal

Consultation process: 3 public consultation meetings were held over the assessment period, conducted at the village community hall under the Gram Sabha / local body process as required under the LARR Act, 2013. A total of approximately 140 affected residents and stakeholders attended across all sessions, including 32 women. Attendees represented a cross-section of the affected population, including tenant cultivators, representatives of the Scheduled Tribe community, members of the local women's self-help group, and local shopkeepers and traders.

Consultation notes (majority supportive):
  - On compensation satisfaction: several attendees described the compensation package as fair and, in some cases, above their initial expectations, referencing similar recent acquisitions in the region.
  - On resettlement site quality: attendees welcomed the proposed resettlement site's proximity to schools, primary healthcare facilities, and the main road, viewing it as an improvement over current conditions for several families.
  - On gram sabha resolution: the Gram Sabha passed a formal resolution supporting the acquisition, citing long-term developmental benefits to the panchayat as a whole.
  - On connectivity benefits: residents noted that the project would meaningfully improve regional connectivity and market access for local agricultural produce.

Overall consensus recorded: the project enjoys majority community support. No significant objections were raised during this consultation round, and the consultation team sees no impediment to proceeding to the next stage."
